Brand,Year,Model,Title,UsedOrNew,Transmission,Engine,DriveType,FuelType,FuelConsumption,Kilometres,ColourExtInt,CylindersinEngine,BodyType,Doors,Seats,Price
Toyota,2018,Hilux,2018 Toyota Hilux SR (4X4),USED,Automatic,"4 cyl, 2.8 L",4WD,Diesel,8.5 L / 100 km,149433,White / -,4 cyl,Ute / Tray," 4 Doors"," 5 Seats",39750
Dodge,2008,Nitro,2008 Dodge Nitro KA MY07 SXT Wagon 4dr Auto 4sp 4WD 3.7i,USED,Automatic,-,Other,-,-,193853,Black / -,-,Wagon,,,9980
Kia,2019,Sportage,2019 Kia Sportage GT-Line (awd),USED,Automatic,"4 cyl, 2 L",AWD,Diesel,6.4 L / 100 km,27984,Red / Black,4 cyl,SUV," 4 Doors"," 5 Seats",39880
Toyota,2019,Landcruiser,2019 Toyota Landcruiser Prado GXL (4X4),USED,Automatic,"4 cyl, 2.8 L",4WD,Diesel,8 L / 100 km,107103,Grey / Black,4 cyl,SUV," 4 Doors"," 7 Seats",59990
Mercedes-Benz,2020,C300,2020 Mercedes-Benz C300,USED,Automatic,"4 cyl, 2 L",Rear,Unleaded,7.2 L / 100 km,54778,Black / Black,4 cyl,Wagon," 4 Doors"," 5 Seats",68880
Mitsubishi,2021,Outlander,2021 Mitsubishi Outlander ES 7 Seat (2WD),USED,Automatic,"4 cyl, 2.4 L",Front,Unleaded,7.2 L / 100 km,50811,Silver / -,4 cyl,SUV," 4 Doors"," 7 Seats",31977
MG,2020,HS,2020 MG HS Excite,USED,Automatic,"4 cyl, 1.5 L",Front,Unleaded,7.3 L / 100 km,28300,White / Black Leather,4 cyl,SUV," 4 Doors"," 5 Seats",24955
Nissan,2021,Navara,2021 Nissan Navara PRO-4X Warrior (4X4),USED,Automatic,"4 cyl, 2.3 L",4WD,Diesel,8.1 L / 100 km,43275,Grey / Black,4 cyl,Ute / Tray," 4 Doors"," 5 Seats",68880
Hyundai,2011,I20,2011 Hyundai I20 PB Active Hatchback 5dr Auto 4sp 1.4i,USED,Automatic,-,Other,-,-,133269,Silver / -,-,Hatchback,,,10480
Toyota,2012,Camry,2012 Toyota Camry Altise,USED,Automatic,"4 cyl, 2.5 L",Front,Unleaded,7.8 L / 100 km,183775,Red / -,4 cyl,Sedan," 4 Doors"," 5 Seats",13990
Kia,2020,Cerato,2020 Kia Cerato S,USED,Automatic,"4 cyl, 2 L",Front,Unleaded,7.4 L / 100 km,65197,Grey / Black,4 cyl,Sedan," 4 Doors"," 5 Seats",21490
Holden,2010,Barina,2010 Holden Barina Spark CD,USED,Manual,"4 cyl, 1.2 L",Front,Unleaded,5.6 L / 100 km,146109,Green / -,4 cyl,Hatchback," 5 Doors"," 5 Seats",9990
Mercedes-Benz,2015,GLA250,2015 Mercedes-Benz GLA250 4Matic,USED,Automatic,"4 cyl, 2 L",AWD,Premium,7 L / 100 km,99701,White / Grey,4 cyl,SUV," 4 Doors"," 5 Seats",31990
Hyundai,2019,Elantra,2019 Hyundai Elantra GO Smartsense,USED,Automatic,"4 cyl, 2 L",Front,Unleaded,7.2 L / 100 km,53622,Red / -,4 cyl,Sedan," 4 Doors"," 5 Seats",23990
Kia,2019,Cerato,2019 Kia Cerato S,USED,Automatic,"4 cyl, 2 L",Front,Unleaded,7.4 L / 100 km,50974,Silver / -,4 cyl,Sedan," 4 Doors"," 5 Seats",22980
Isuzu,2016,D-MAX,2016 Isuzu D-MAX LS-M HI-Ride (4X4),USED,Automatic,"4 cyl, 3 L",4WD,Diesel,8.1 L / 100 km,144528,Silver / -,4 cyl,Ute / Tray," 4 Doors"," 5 Seats",39990
Ford,2016,Focus,2016 Ford Focus Trend,USED,Automatic,"4 cyl, 1.5 L",Front,Unleaded,6.2 L / 100 km,60549,Red / -,4 cyl,Hatchback," 5 Doors"," 5 Seats",15888
Honda,2018,Civic,2018 Honda Civic VTI-L,USED,Automatic,"4 cyl, 1.5 L",Front,Unleaded,6.1 L / 100 km,73264,White / -,4 cyl,Hatchback," 5 Doors"," 5 Seats",28982
Volkswagen,2017,Tiguan,2017 Volkswagen Tiguan 140 TDI Highline,USED,Automatic,"4 cyl, 2 L",AWD,Diesel,5.9 L / 100 km,60497,White / Black,4 cyl,SUV," 4 Doors"," 5 Seats",41880
Nissan,2012,Navara,2012 Nissan Navara RX (4X2),USED,Manual,"4 cyl, 2.5 L",Rear,Diesel,9.8 L / 100 km,255087,White / -,4 cyl,Ute / Tray," 4 Doors"," 5 Seats",9999
Mazda,2019,2,2019 Mazda 2 Maxx (5YR),USED,Automatic,"4 cyl, 1.5 L",Front,Unleaded,4.9 L / 100 km,15750,Grey / Black,4 cyl,Sedan," 4 Doors"," 5 Seats",21990
Holden,2016,Colorado,2016 Holden Colorado LS (4X4),USED,Automatic,"4 cyl, 2.8 L",4WD,Diesel,9.1 L / 100 km,140785,White / -,4 cyl,Ute / Tray," 4 Doors"," 5 Seats",21990
Holden,2018,Trailblazer,2018 Holden Trailblazer LT (4X4),USED,Automatic,"4 cyl, 2.8 L",4WD,Diesel,8.6 L / 100 km,95112,White / -,4 cyl,SUV," 4 Doors"," 7 Seats",31850
Mazda,2018,BT-50,2018 Mazda BT-50 XT (4X4),USED,Automatic,"5 cyl, 3.2 L",4WD,Diesel,10 L / 100 km,143775,Silver / -,5 cyl,Ute / Tray," 4 Doors"," 5 Seats",30998
Toyota,2011,Rav,2011 Toyota Rav 4,USED,Manual,-,Front,Unleaded,-,198311,Grey / -,-,SUV,,,11990
Honda,2019,CR-V,2019 Honda CR-V VTI-S (2WD),USED,Automatic,"4 cyl, 1.5 L",Front,Unleaded,7.3 L / 100 km,40731,White / -,4 cyl,SUV," 4 Doors"," 5 Seats",34996
Volvo,2017,XC60,2017 Volvo XC60 D5 R-Design,USED,Automatic,"4 cyl, 2 L",AWD,Diesel,5.6 L / 100 km,80770,Blue / Black,4 cyl,SUV," 4 Doors"," 5 Seats",51888
Mini,2013,Countryman,2013 Mini Countryman Cooper S,USED,Automatic,"4 cyl, 1.6 L",Front,Premium,7.5 L / 100 km,79953,Blue / -,4 cyl,SUV," 4 Doors"," 4 Seats",26982
Suzuki,2022,Baleno,2022 Suzuki Baleno GL,USED,Automatic,"4 cyl, 1.4 L",Front,Unleaded,5.4 L / 100 km,31626,Red / Black,4 cyl,Hatchback," 4 Doors"," 5 Seats",19990
Toyota,2020,Hilux,2020 Toyota Hilux SR (4X4),USED,Manual,"4 cyl, 2.8 L",4WD,Diesel,7.4 L / 100 km,21102,White / -,4 cyl,Ute / Tray," 4 Doors"," 5 Seats",57999
Nissan,2018,Qashqai,2018 Nissan Qashqai ST-L,USED,Automatic,"4 cyl, 2 L",Front,Unleaded,6.9 L / 100 km,35873,White / -,4 cyl,SUV," 4 Doors"," 5 Seats",29933
Toyota,2018,RAV4,2018 Toyota RAV4 GXL (4X4),USED,Automatic,"4 cyl, 2.5 L",AWD,Unleaded,8.5 L / 100 km,26900,Silver / Black,4 cyl,SUV," 4 Doors"," 5 Seats",35990
Nissan,2012,Micra,2012 Nissan Micra,USED,Automatic,-,Other,Unleaded,-,119534,Orange / -,-,Hatchback,,,10990
Toyota,2020,Hilux,2020 Toyota Hilux SR (4X4),USED,Automatic,"4 cyl, 2.8 L",4WD,Diesel,8.5 L / 100 km,83782,White / Black,4 cyl,Ute / Tray," 4 Doors"," 5 Seats",49990
Toyota,2009,Prius,2009 Toyota Prius Hybrid,USED,Automatic,"4 cyl, 1.8 L",Front,Hybrid,3.9 L / 100 km,113997,White / -,4 cyl,Hatchback," 5 Doors"," 5 Seats",16990
Honda,2022,Civic,2022 Honda Civic VTI-LX,DEMO,Automatic,"4 cyl, 1.5 L",Front,Unleaded,6.3 L / 100 km,5864,Grey / Grey,4 cyl,Hatchback," 4 Doors"," 5 Seats",44888
Holden,2019,Colorado,2019 Holden Colorado LS (4X4),USED,Automatic,"4 cyl, 2.8 L",4WD,Diesel,8.6 L / 100 km,94279,White / Black,4 cyl,Ute / Tray," 4 Doors"," 5 Seats",37980
Mazda,2015,CX-5,2015 Mazda CX-5 Maxx Sport (4X4),USED,Automatic,"4 cyl, 2.5 L",AWD,Unleaded,7.4 L / 100 km,58518,Red / -,4 cyl,SUV," 4 Doors"," 5 Seats",27999
Toyota,2018,Hilux,2018 Toyota Hilux SR (4X4),USED,Automatic,"4 cyl, 2.8 L",4WD,Diesel,9 L / 100 km,194945,White / Grey,4 cyl,Ute / Tray," 2 Doors"," 2 Seats",39795
Hyundai,2018,Accent,2018 Hyundai Accent Sport,USED,Automatic,"4 cyl, 1.6 L",Front,Unleaded,6.6 L / 100 km,152362,Blue / Grey,4 cyl,Hatchback," 5 Doors"," 5 Seats",14950
